variação_cotações
0.02
0.18
-0.08
0.59
0.52
0.00
-0.23
0.41
-0.18
0.16
0.22
-0.21
0.19
-0.48
0.13
0.25
-0.27
0.71
0.44
1.25
0.12
0.03
0.15
0.7
0.04
0.15
-1.1
0.13
-0.13
0.47
-0.21
0.16
0.48
0.12
0.04
0.07
0.18
-0.32
-0.25
-0.23
-0.4
-0.37
0.47
-0.5
0.03
0.23
0.04
0.25
-0.07
0.23
-0.25
-0.13
0.02
-0.13
0.09
-0.41
-0.67
-0.59
0.38
0.44
-0.22
0.44
0.47
0.96
-0.19
0.18
1.0
0.2
-0.44
-0.18
-0.2
-0.02
0.05
-0.51
0.44
-0.25
0.59
-0.24
-0.77
0.25
0.15
0.06
-0.12
0.22
-0.23
0.26
0.17
-0.02
0.25
0.13
0.2
-0.11
-0.2
0.34
0.49
0.2
0.42
0.0
0.04
-0.58
