tempo_entre_reclama_segundos
4
12
5
40
18
26
16
40
8
23
22
11
13
21
16
13
22
8
37
3
8
17
39
57
16
4
19
46
37
10
12
24
3
16
37
32
24
50
34
6
91
163
26
24
10
32
36
26
28
18
2
3
5
34
32
80
29
48
6
61
2
121
65
23
38
14
23
24
2
6
21
52
162
6
33
39
131
77
14
81
1
7
19
33
17
132
35
75
22
13
2
28
26
34
1
28
24
22
16
25
11
17
56
29
46
24
45
2
77
59
18
20
30
32
22
13
164
3
32
21
20
33
33
18
39
14
52
33
35
103
2
136
19
47
18
73
22
23
104
28
13
28
57
25
35
38
39
88
7
21
